Accession	Organism	Kingdom	Length	Cleavage	Type	Fold	Transmembrane
Q504T8	Homo sapiens	Metazoa	468		-	2	False
P53909	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	347		-	3	False
Q23272	Caenorhabditis elegans	Metazoa	488		-	4	False
Q57UZ7	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	550		-	0	False
P39103	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	70		-	1	True
B2CW77	Homo sapiens	Metazoa	178		-	2	False
P38253	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	122		-	3	True
Q9ZNT1	Arabidopsis thaliana	Viridiplantae	281		-	4	True
Q94AX2	Arabidopsis thaliana	Viridiplantae	277		-	0	False
P52923	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	378		-	1	True
Q9NRR4	Homo sapiens	Metazoa	1374		-	2	False
C0HLN0	Rattus norvegicus	Metazoa	54		-	3	True
P04789	Trypanosoma brucei brucei	Other	250		-	4	False
Q9D0Z3	Mus musculus	Metazoa	276		-	0	False
Q9JKT3	Mus musculus	Metazoa	297		-	1	True
Q9W1H4	Drosophila melanogaster	Metazoa	747		-	2	False
Q12235	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	531		-	3	True
Q9NSN8	Homo sapiens	Metazoa	517		-	4	False
Q4WGS5	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	577		-	0	True
Q969T9	Homo sapiens	Metazoa	261		-	1	False
Q22323	Caenorhabditis elegans	Metazoa	283		-	2	False
Q8L7S5	Arabidopsis thaliana	Viridiplantae	642		-	3	False
Q9BRJ2	Homo sapiens	Metazoa	306		-	4	False
Q9UJX5	Homo sapiens	Metazoa	808		-	0	False
P43897	Homo sapiens	Metazoa	325		-	1	False
Q6EPN6	Oryza sativa subsp. japonica	Viridiplantae	222		-	2	False
O14161	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	293		-	3	False
D4A7U2	Rattus norvegicus	Metazoa	587		-	4	False
Q5TB30	Homo sapiens	Metazoa	811		-	0	False
Q3KN41	Drosophila melanogaster	Metazoa	1840		-	1	False
P09234	Homo sapiens	Metazoa	159		-	2	False
P38172	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	270		-	3	False
P38873	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1557		-	4	False
Q8NF64	Homo sapiens	Metazoa	920		-	0	False
Q09260	Caenorhabditis elegans	Metazoa	490		-	1	False
P53142	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	486		-	2	True
Q8N5Y2	Homo sapiens	Metazoa	521		-	3	False
P69850	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	94		-	4	False
Q04370	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	399		-	0	True
P03896	Drosophila melanogaster	Metazoa	341		-	1	True
Q10173	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	441		-	2	False
Q05949	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	395		-	3	False
Q8L3X9	Arabidopsis thaliana	Viridiplantae	461		-	4	False
Q39129	Arabidopsis thaliana	Viridiplantae	120		-	0	False
Q9LFV6	Arabidopsis thaliana	Viridiplantae	1011		-	1	False
P31228	Bos taurus	Metazoa	341		-	2	False
P41247	Homo sapiens	Metazoa	253		-	3	False
Q9ZT96	Arabidopsis thaliana	Viridiplantae	541		-	4	False
P38786	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	293		-	0	False
Q8IXM6	Homo sapiens	Metazoa	262		-	1	True
Q63472	Rattus norvegicus	Metazoa	962		-	2	False
Q9D067	Mus musculus	Metazoa	708		-	3	False
F4JV80	Arabidopsis thaliana	Viridiplantae	155		-	4	False
P0DI83	Homo sapiens	Metazoa	198		-	0	False
Q53H47	Homo sapiens	Metazoa	684		-	1	False
Q8IVP5	Homo sapiens	Metazoa	155		-	2	True
Q5SWY8	Mus musculus	Metazoa	596		-	3	True
Q2M2T7	Bos taurus	Metazoa	167		-	4	False
P32570	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	121		-	0	False
Q91X44	Mus musculus	Metazoa	623		-	1	False
P70120	Mus musculus	Metazoa	167		-	2	False
Q9USY8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	166		-	3	False
Q9UK99	Homo sapiens	Metazoa	471		-	4	False
Q9Y808	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1063		-	0	False
Q08959	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	321		-	1	False
Q5BJY9	Rattus norvegicus	Metazoa	423		-	2	False
Q9XI00	Arabidopsis thaliana	Viridiplantae	328		-	3	False
Q9H649	Homo sapiens	Metazoa	340		-	4	False
E2RU10	Giardia intestinalis (strain ATCC 50803 / WB clone C6)	Other	238		-	0	False
Q8GV05	Arabidopsis thaliana	Viridiplantae	106		-	1	False
Q6U6G5	Rattus norvegicus	Metazoa	426		-	2	False
P79943	Xenopus laevis	Metazoa	254		-	3	False
Q9FGN8	Arabidopsis thaliana	Viridiplantae	639		-	4	False
P54654	Dictyostelium discoideum	Other	464		-	0	False
Q09725	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1587		-	1	False
P08153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	709		-	2	False
Q38998	Arabidopsis thaliana	Viridiplantae	857		-	3	True
P36141	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133		-	4	False
Q969Y2	Homo sapiens	Metazoa	492		-	0	False
Q42342	Arabidopsis thaliana	Viridiplantae	134		-	1	False
Q5T4T1	Homo sapiens	Metazoa	132		-	2	True
Q9BXJ9	Homo sapiens	Metazoa	866		-	3	False
Q32P44	Homo sapiens	Metazoa	896		-	4	False
Q9D1E5	Mus musculus	Metazoa	489		-	0	True
Q9D8H7	Mus musculus	Metazoa	521		-	1	False
P32179	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	357		-	2	False
O35820	Rattus norvegicus	Metazoa	163		-	3	False
Q9BW66	Homo sapiens	Metazoa	212		-	4	False
O00180	Homo sapiens	Metazoa	336		-	0	True
O75179	Homo sapiens	Metazoa	2603		-	1	False
Q3U4H6	Mus musculus	Metazoa	486		-	2	False
O35678	Mus musculus	Metazoa	303		-	3	False
F4JCX9	Arabidopsis thaliana	Viridiplantae	663		-	4	False
Q7RX40	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	158		-	0	False
Q5S006	Mus musculus	Metazoa	2527		-	1	False
P32521	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1480		-	2	False
Q9Z0Y7	Mus musculus	Metazoa	1216		-	3	False
Q7S7R6	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	315		-	4	False
O74462	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	452		-	0	False
Q92934	Homo sapiens	Metazoa	168		-	1	False
Q9USU3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	878		-	2	False
O75132	Homo sapiens	Metazoa	1171		-	3	False
P24349	Caenorhabditis elegans	Metazoa	1201		-	4	False
Q8WY64	Homo sapiens	Metazoa	445		-	0	False
Q17569	Caenorhabditis elegans	Metazoa	389		-	1	False
Q873E4	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	240		-	2	False
Q9H307	Homo sapiens	Metazoa	717		-	3	False
Q5FWH3	Mus musculus	Metazoa	603		-	4	False
Q96DX5	Homo sapiens	Metazoa	294		-	0	False
P36118	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	322		-	1	False
Q9NWW0	Homo sapiens	Metazoa	138		-	2	False
Q14642	Homo sapiens	Metazoa	412		-	3	False
P40154	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	320		-	4	False
P40630	Mus musculus	Metazoa	243		-	0	False
Q8TDG4	Homo sapiens	Metazoa	1101		-	1	False
O14681	Homo sapiens	Metazoa	340		-	2	True
Q2TAL8	Homo sapiens	Metazoa	776		-	3	False
Q923W1	Mus musculus	Metazoa	853		-	4	False
Q91WK7	Mus musculus	Metazoa	299		-	0	False
Q9NZ42	Homo sapiens	Metazoa	101		-	1	True
Q9USQ1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	960		-	2	False
Q94JV5	Arabidopsis thaliana	Viridiplantae	307		-	3	False
Q6P587	Homo sapiens	Metazoa	221		-	4	False
P17987	Homo sapiens	Metazoa	556		-	0	False
Q86UA6	Homo sapiens	Metazoa	219		-	1	False
Q9PTD5	Gallus gallus	Metazoa	335		-	2	False
B1ASB6	Mus musculus	Metazoa	1015		-	3	False
A2ALU4	Mus musculus	Metazoa	1481		-	4	False
Q07794	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	436		-	0	False
P03887	Bos taurus	Metazoa	318		-	1	True
P97931	Mus musculus	Metazoa	306		-	2	False
Q9LXI8	Arabidopsis thaliana	Viridiplantae	67		-	3	False
Q12507	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	346		-	4	False
Q62733	Rattus norvegicus	Metazoa	452		-	0	False
O65370	Arabidopsis thaliana	Viridiplantae	138		-	1	False
P34234	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	306		-	2	False
E1BUG7	Gallus gallus	Metazoa	690		-	3	False
P32792	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	385		-	4	False
Q04172	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	456		-	0	False
P46938	Mus musculus	Metazoa	488		-	1	False
Q0JFZ0	Oryza sativa subsp. japonica	Viridiplantae	247		-	2	False
Q96I59	Homo sapiens	Metazoa	477		-	3	False
P32914	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	102		-	4	False
C4R4G9	Komagataella phaffii (strain GS115 / ATCC 20864)	Fungi	344		-	0	False
P15340	Gallus gallus	Metazoa	62		-	1	False
Q38834	Arabidopsis thaliana	Viridiplantae	852		-	2	False
Q84TI7	Arabidopsis thaliana	Viridiplantae	506		-	3	True
P53076	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	958		-	4	False
Q5GH77	Homo sapiens	Metazoa	459		-	0	True
O15014	Homo sapiens	Metazoa	1411		-	1	False
Q96A26	Homo sapiens	Metazoa	154		-	2	False
O75762	Homo sapiens	Metazoa	1119		-	3	False
Q9NVU7	Homo sapiens	Metazoa	687		-	4	False
Q9LTQ0	Arabidopsis thaliana	Viridiplantae	391		-	0	False
Q39161	Arabidopsis thaliana	Viridiplantae	586		-	1	False
P40513	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	266		-	2	False
Q9NR90	Homo sapiens	Metazoa	486		-	3	False
Q9BTP7	Homo sapiens	Metazoa	215		-	4	False
F4JAU2	Arabidopsis thaliana	Viridiplantae	1697		-	0	False
Q84JU6	Arabidopsis thaliana	Viridiplantae	927		-	1	False
P39001	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	836		-	2	False
Q06568	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	189		-	3	False
Q7XJJ7	Arabidopsis thaliana	Viridiplantae	607		-	4	False
P26755	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	122		-	0	False
O82259	Arabidopsis thaliana	Viridiplantae	225		-	1	False
P47988	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	759		-	2	False
Q96P70	Homo sapiens	Metazoa	1041		-	3	False
Q9QZR8	Rattus norvegicus	Metazoa	2766		-	4	False
P39113	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1433		-	0	False
P09597	Spinacia oleracea	Viridiplantae	134		-	1	False
Q8AWF5	Xenopus laevis	Metazoa	638		-	2	False
Q058N4	Arabidopsis thaliana	Viridiplantae	459		-	3	False
Q9V968	Drosophila melanogaster	Metazoa	218		-	4	False
Q1G3K8	Arabidopsis thaliana	Viridiplantae	216		-	0	False
Q6U6H1	Halocynthia roretzi	Metazoa	259		-	1	False
Q9FMW8	Arabidopsis thaliana	Viridiplantae	354		-	2	False
Q6P9H5	Homo sapiens	Metazoa	292		-	3	False
P18847	Homo sapiens	Metazoa	181		-	4	False
Q99N92	Mus musculus	Metazoa	148		-	0	False
Q9SDW0	Arabidopsis thaliana	Viridiplantae	323		-	1	False
Q7S5W0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	103		-	2	False
O94580	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	282		-	3	False
Q6PB70	Mus musculus	Metazoa	1060		-	4	False
P53166	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	561		-	0	False
Q9R226	Mus musculus	Metazoa	346		-	1	False
Q9EQN3	Mus musculus	Metazoa	387		-	2	False
A1A519	Homo sapiens	Metazoa	330		-	3	False
O95707	Homo sapiens	Metazoa	220		-	4	False
O94716	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	233		-	0	False
Q6P1J9	Homo sapiens	Metazoa	531		-	1	False
P32336	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	851		-	2	False
Q84Q77	Oryza sativa subsp. japonica	Viridiplantae	161		-	3	False
P32357	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	355		-	4	False
Q12158	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	566		-	0	False
P38891	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	393		-	1	False
Q17635	Caenorhabditis elegans	Metazoa	590		-	2	False
P47164	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	639		-	3	False
Q9SU56	Arabidopsis thaliana	Viridiplantae	610		-	4	True
Q06315	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1026		-	0	False
Q9UTJ8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1285		-	1	False
Q9P127	Homo sapiens	Metazoa	313		-	2	False
Q8NFQ8	Homo sapiens	Metazoa	470		-	3	False
P40573	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	187		-	4	False
Q96JM3	Homo sapiens	Metazoa	812		-	0	False
Q67ZB6	Arabidopsis thaliana	Viridiplantae	462		-	1	False
Q10178	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1205		-	2	False
Q9UHX1	Homo sapiens	Metazoa	559		-	3	False
Q96SK2	Homo sapiens	Metazoa	561		-	4	True
Q9NTK1	Homo sapiens	Metazoa	212		-	0	False
Q96HS1	Homo sapiens	Metazoa	289		-	1	True
Q02873	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	248		-	2	False
P56329	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	321		-	3	False
P54113	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	591		-	4	False
Q90Z72	Gallus gallus	Metazoa	458		-	0	False
Q0ZLH2	Mus musculus	Metazoa	352		-	1	False
Q8VEK3	Mus musculus	Metazoa	800		-	2	False
P08433	Scyliorhinus canicula	Metazoa	51		-	3	False
Q9N4U5	Caenorhabditis elegans	Metazoa	547		-	4	False
O48533	Arabidopsis thaliana	Viridiplantae	259		-	0	False
Q09838	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	681		-	1	False
Q96KG9	Homo sapiens	Metazoa	808		-	2	False
Q02521	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	185		-	3	False
Q9STY4	Arabidopsis thaliana	Viridiplantae	599		-	4	False
P25379	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	360		-	0	False
P92204	Drosophila melanogaster	Metazoa	280		-	1	False
A6NGQ2	Homo sapiens	Metazoa	149		-	2	False
Q9W157	Drosophila melanogaster	Metazoa	971		-	3	False
Q8S4F6	Arabidopsis thaliana	Viridiplantae	510		-	4	False
P52792	Mus musculus	Metazoa	465		-	0	False
Q9C107	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	815		-	1	False
Q9WVS6	Mus musculus	Metazoa	464		-	2	False
O22788	Arabidopsis thaliana	Viridiplantae	236		-	3	False
Q6P087	Homo sapiens	Metazoa	351		-	4	False
Q6DKI7	Homo sapiens	Metazoa	326		-	0	True
A2AUU0	Mus musculus	Metazoa	281		-	1	False
O80931	Arabidopsis thaliana	Viridiplantae	367		-	2	False
P14736	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	754		-	3	False
Q9BQ95	Homo sapiens	Metazoa	431		-	4	False
Q08365	Chlamydomonas reinhardtii	Viridiplantae	712		-	0	False
O94358	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	845		-	1	False
Q8IVG5	Homo sapiens	Metazoa	1584		-	2	False
Q9W088	Drosophila melanogaster	Metazoa	431		-	3	False
P06168	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	395		-	4	False
Q9FJN9	Arabidopsis thaliana	Viridiplantae	220		-	0	False
P70331	Mus musculus	Metazoa	251		-	1	False
Q8WVY7	Homo sapiens	Metazoa	318		-	2	False
P36543	Homo sapiens	Metazoa	226		-	3	False
Q6PI48	Homo sapiens	Metazoa	645		-	4	False
P02786	Homo sapiens	Metazoa	760		-	0	True
Q60674	Mus musculus	Metazoa	576		-	1	False
Q9H0E9	Homo sapiens	Metazoa	1235		-	2	False
Q07335	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	154		-	3	True
P70279	Mus musculus	Metazoa	355		-	4	False
Q9V452	Drosophila melanogaster	Metazoa	140		-	0	False
O00257	Homo sapiens	Metazoa	560		-	1	False
Q9NYH9	Homo sapiens	Metazoa	597		-	2	False
P41695	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1021		-	3	False
Q9HCX4	Homo sapiens	Metazoa	862		-	4	False
P25651	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	190		-	0	False
F4HXY7	Arabidopsis thaliana	Viridiplantae	425		-	1	True
Q6UEG8	Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1)	Fungi	444		-	2	False
I3PB37	Petunia hybrida	Viridiplantae	544		-	3	False
Q9W484	Drosophila melanogaster	Metazoa	985		-	4	False
Q13015	Homo sapiens	Metazoa	90		-	0	False
Q42687	Chlamydomonas reinhardtii	Viridiplantae	219		-	1	False
Q96PV7	Homo sapiens	Metazoa	902		-	2	False
Q03200	Oryza sativa subsp. japonica	Viridiplantae	128		-	3	False
Q14DK4	Mus musculus	Metazoa	801		-	4	False
Q99177	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	341		-	0	False
P07884	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	428		-	1	False
P53212	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	290		-	2	False
J9VLJ9	Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487)	Fungi	154		-	3	False
O64973	Arabidopsis thaliana	Viridiplantae	889		-	4	False
Q9SJW9	Arabidopsis thaliana	Viridiplantae	571		-	0	False
Q9NZN3	Homo sapiens	Metazoa	535		-	1	False
Q8CJF7	Mus musculus	Metazoa	2243		-	2	False
Q9FG00	Arabidopsis thaliana	Viridiplantae	491		-	3	True
Q8K3G9	Mus musculus	Metazoa	662		-	4	False
Q09666	Homo sapiens	Metazoa	5890		-	0	False
P38297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	855		-	1	False
O94609	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1012		-	2	False
Q6ID70	Arabidopsis thaliana	Viridiplantae	150		-	3	False
Q1RNF8	Mus musculus	Metazoa	542		-	4	False
Q9Z2N6	Rattus norvegicus	Metazoa	79		-	0	False
P11914	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	482		-	1	False
Q9BQ87	Homo sapiens	Metazoa	522		-	2	False
O43164	Homo sapiens	Metazoa	708		-	3	False
Q22812	Caenorhabditis elegans	Metazoa	399		-	4	False
B7SXM5	Danio rerio	Metazoa	180		-	0	False
Q9QVP9	Mus musculus	Metazoa	1009		-	1	False
P53317	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	196		-	2	False
Q76PC4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	562		-	3	False
O13744	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	259		-	4	False
X5HYT8	Oryza sativa subsp. japonica	Viridiplantae	425		-	0	False
P33075	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	220		-	1	False
Q9H8M7	Homo sapiens	Metazoa	445		-	2	False
P24118	Tetrahymena thermophila	Other	462		-	3	False
Q04110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	302		-	4	False
P53233	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	369		-	0	False
P38228	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	572		-	1	False
O15047	Homo sapiens	Metazoa	1707		-	2	False
Q9SGH4	Arabidopsis thaliana	Viridiplantae	220		-	3	False
Q9QZ04	Mus musculus	Metazoa	1284		-	4	False
O22832	Arabidopsis thaliana	Viridiplantae	401		-	0	False
Q99929	Homo sapiens	Metazoa	193		-	1	False
Q8VYU8	Arabidopsis thaliana	Viridiplantae	396		-	2	False
Q9LN09	Arabidopsis thaliana	Viridiplantae	206		-	3	False
E5KBU3	Pinus taeda	Viridiplantae	354		-	4	False
P40547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	921		-	0	False
Q6B9X6	Dictyostelium discoideum	Other	625		-	1	False
P38632	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	267		-	2	False
O94411	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	509		-	3	False
P0DJ07	Homo sapiens	Metazoa	73		-	4	True
Q6GLP4	Xenopus laevis	Metazoa	391		-	0	False
O82239	Arabidopsis thaliana	Viridiplantae	358		-	1	False
Q06608	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	200		-	2	False
Q9LYD9	Arabidopsis thaliana	Viridiplantae	1096		-	3	False
O74808	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1238		-	4	False
P43596	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	787		-	0	False
Q8WVT3	Homo sapiens	Metazoa	735		-	1	False
P0DW10	Neurospora crassa	Fungi	244		-	2	False
Q9LYY2	Arabidopsis thaliana	Viridiplantae	112		-	3	True
Q9SJX7	Arabidopsis thaliana	Viridiplantae	433		-	4	False
Q1K7L7	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	219		-	0	False
Q96SD1	Homo sapiens	Metazoa	692		-	1	False
Q9CQT9	Mus musculus	Metazoa	129		-	2	True
Q09821	Sus scrofa	Metazoa	138		-	3	False
Q5BJM8	Rattus norvegicus	Metazoa	378		-	4	True
O75665	Homo sapiens	Metazoa	1012		-	0	False
Q11107	Caenorhabditis elegans	Metazoa	2248		-	1	False
Q21209	Caenorhabditis elegans	Metazoa	702		-	2	False
Q9UTC0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	50		-	3	False
P11978	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1358		-	4	False
Q93WL3	Arabidopsis thaliana	Viridiplantae	238		-	0	False
P54345	Chlamydomonas reinhardtii	Viridiplantae	156		-	1	False
Q8IZ52	Homo sapiens	Metazoa	775		-	2	True
Q9SIU2	Arabidopsis thaliana	Viridiplantae	848		-	3	False
Q12788	Homo sapiens	Metazoa	808		-	4	False
Q9UHP7	Homo sapiens	Metazoa	191		-	0	True
P51959	Homo sapiens	Metazoa	295		-	1	False
Q9TYT3	Caenorhabditis elegans	Metazoa	316		-	2	False
Q91WV7	Mus musculus	Metazoa	685		-	3	True
Q7M3M8	Drosophila melanogaster	Metazoa	793		-	4	False
Q9GZT6	Homo sapiens	Metazoa	254		-	0	False
Q9M297	Arabidopsis thaliana	Viridiplantae	1256		-	1	False
Q9VKB9	Drosophila melanogaster	Metazoa	1341		-	2	False
Q6P8Z1	Mus musculus	Metazoa	170		-	3	False
P53004	Homo sapiens	Metazoa	296		-	4	False
P49685	Homo sapiens	Metazoa	360		-	0	True
Q16186	Homo sapiens	Metazoa	407		-	1	False
Q96BU1	Homo sapiens	Metazoa	408		-	2	False
Q9URT8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	111		-	3	False
Q2HJF1	Bos taurus	Metazoa	112		-	4	False
A2A5K6	Mus musculus	Metazoa	1337		-	0	False
Q12457	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	570		-	1	False
P32318	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	326		-	2	False
Q99MV7	Mus musculus	Metazoa	1640		-	3	False
P38081	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	501		-	4	False
P53292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	345		-	0	False
Q9WTQ8	Mus musculus	Metazoa	209		-	1	True
Q9SG86	Arabidopsis thaliana	Viridiplantae	675		-	2	False
Q03774	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	444		-	3	False
H2QII6	Pan troglodytes	Metazoa	3224		-	4	False
Q8BZA9	Mus musculus	Metazoa	269		-	0	False
D5LXJ0	Lotus japonicus	Viridiplantae	691		-	1	False
O94826	Homo sapiens	Metazoa	608		-	2	True
Q8TEA8	Homo sapiens	Metazoa	209		-	3	False
Q8R507	Mus musculus	Metazoa	461		-	4	True
Q9UBE0	Homo sapiens	Metazoa	346		-	0	False
Q9UKA2	Homo sapiens	Metazoa	621		-	1	False
P46947	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	266		-	2	False
P36527	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	147		-	3	False
P47096	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	177		-	4	False
Q1ENB6	Arabidopsis thaliana	Viridiplantae	484		-	0	False
P29084	Homo sapiens	Metazoa	291		-	1	False
P49454	Homo sapiens	Metazoa	3114		-	2	False
Q7ZT82	Danio rerio	Metazoa	382		-	3	False
C8VSZ2	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	370		-	4	False
P40848	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	991		-	0	False
Q9VQ56	Drosophila melanogaster	Metazoa	611		-	1	False
Q5BLX8	Rattus norvegicus	Metazoa	315		-	2	False
P36160	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	344		-	3	False
J9VT33	Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487)	Fungi	1048		-	4	False
